Zakres, Czas trwania
1000000,2200
900000,3983
700000,5059
500000,5606
300000,5803
200000,5891
100000,5913
50000,5918
20000,5919
10000,5919
5000,5919
2000,5919
1000,5919
500,5919
100,5919
50,5919
10,5919
