Zakres, Czas trwania, Liczba iteracji
500000,952,10
20000,1.3,10
10000,0.4,10
5000,0.1,10
5000,0.1,10
10000,0.3,10
20000,1.5,10
50000,9,1
50000,9,1
100000,37,1
200000,149,1
300000,344,1
500000,892.2,10
500000,927,1
700000,1765,1
