
5000,0.1,10

500,0.01,100

2000,0.02,100

1000,0.003,1000

500,0.0008,10000
1000,0.0033,10000
50,1e-005,100000
100,2e-005,100000
10,0,1e+006
50,6e-006,1e+006
